inn;predpriyatie;company_id;procedure_id;nomer;predmet;vid;sekciya;summa;data;stadiya;ssylka
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;4;31603721766;"Услуги по сопровождению эксплуатации оборудования и программного обеспечения ИИТИ СТИ ДО и МАСДУ ЕСГ ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;9246817.19;2016-05-31;completed;https://etpgpb.ru/procedure/tender/gaz/65246-uslugi-po-soprovozhdeniyu-ekspluatatsii-oborudovaniya-i-programmnogo-obespecheniya-iiti-sti-do-i-masdu-esg-ooo-gazprom-dobycha-orenb
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;58;31603860104;"Право заключения договора на поставку подарочных продовольственных наборов для пенсионеров ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;4999998.07;2016-07-06;completed;https://etpgpb.ru/procedure/tender/gaz/67437-pravo-zaklyucheniya-dogovora-na-postavku-podarochnyh-prodovolstvennyh-naborov-dlya-pensionerov-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;120;31603869028;Оказание образовательных услуг по организации и проведению программ дополнительного профессионального образования работников ПАО «Газпром», его филиалов, представительств и дочерних обществ 46895;закупка;Закупки ГК «Газпром»;301255861.18;2016-07-08;completed;https://etpgpb.ru/procedure/tender/gaz/67395-okazanie-obrazovatelnyh-uslug-po-organizatsii-i-provedeniyu-programm-dopolnitelnogo-professionalnogo-obrazovaniya-rabotnikov-pao-gaz
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;141;31603507316;Оказание услуг по экспертизе проектной документации по объектам капитального ремонта (2 лота) 6264;закупка;Закупки ГК «Газпром»;778701824.0;2016-04-01;completed;https://etpgpb.ru/procedure/tender/gaz/60998-okazanie-uslug-po-ekspertize-proektnoy-dokumentatsii-po-obektam-kapitalnogo-remonta-2-lota-6264/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;217;31603867105;право заключения договора на поставку пылесосов, запчастей и расходных материалов к ним;закупка;Закупки ГК «Газпром»;701446.53;2016-07-08;completed;https://etpgpb.ru/procedure/tender/gaz/67525-pravo-zaklyucheniya-dogovora-na-postavku-pylesosov-zapchastey-i-rashodnyh-materialov-k-nim/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;219;31603867087;Право заключения договора на поставку стекла листового, вышек тура строительных, матов прошивных и прочих строительных материалов;закупка;Закупки ГК «Газпром»;1490985.38;2016-07-08;completed;https://etpgpb.ru/procedure/tender/gaz/67524-pravo-zaklyucheniya-dogovora-na-postavku-stekla-listovogo-vyshek-tura-stroitelnyh-matov-proshivnyh-i-prochih-stroitelnyh-materialov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;241;31603732525;Поставка перчаток трикотажных;закупка;Закупки ГК «Газпром»;422345.6;2016-06-02;completed;https://etpgpb.ru/procedure/tender/gaz/65393-postavka-perchatok-trikotazhnyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;300;31603860142;"Оказание автотранспортных услуг в Оренбургской области и на о. Сахалин в 2016-2018гг. для нужд дочерних обществ ПАО ""Газпром"" (36283)";закупка;Закупки ГК «Газпром»;2710142467.53;2016-07-06;completed;https://etpgpb.ru/procedure/tender/gaz/67428-okazanie-avtotransportnyh-uslug-v-orenburgskoy-oblasti-i-na-o-sahalin-v-2016-2018gg-dlya-nuzhd-dochernih-obschestv-pao-gazprom-36283
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;395;31603732506;Поставка средства репеллентного КАМАРА АНТИКЛЕЩ;закупка;Закупки ГК «Газпром»;426700.98;2016-06-02;completed;https://etpgpb.ru/procedure/tender/gaz/65391-postavka-sredstva-repellentnogo-kamara-antiklesch/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;423;31502468357;Поставка приборов связи, сервисного оборудования и расходных материалов к оргтехнике;закупка;Закупки ГК «Газпром»;18104009.63;2015-06-16;completed;https://etpgpb.ru/procedure/tender/gaz/38170-postavka-priborov-svyazi-servisnogo-oborudovaniya-i-rashodnyh-materialov-k-orgtehnike/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;484;31603721682;Поставка кровельных и теплоизоляционных материалов;закупка;Закупки ГК «Газпром»;530975.15;2016-05-31;completed;https://etpgpb.ru/procedure/tender/gaz/65242-postavka-krovelnyh-i-teploizolyatsionnyh-materialov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;553;31603853914;право заключения договора на оказание услуг по сопровождению справочно-правовой системы (СПС) «Гарант»;закупка;Закупки ГК «Газпром»;2870396.16;2016-07-05;completed;https://etpgpb.ru/procedure/tender/gaz/67331-pravo-zaklyucheniya-dogovora-na-okazanie-uslug-po-soprovozhdeniyu-spravochno-pravovoy-sistemy-sps-garant/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;580;31603764643;"Поставка инструмента монтажного ручного и механизированного
";закупка;Закупки ГК «Газпром»;490336.99;2016-06-10;completed;https://etpgpb.ru/procedure/tender/gaz/65913-postavka-instrumenta-montazhnogo-ruchnogo-i-mehanizirovannogo/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;583;31603743680;"Услуги по транспортировке (в том числе сбору) и последующей утилизации (обезвреживанию) бурового шлама для нужд ООО «Газпром добыча
 Оренбург»";закупка;Закупки ГК «Газпром»;3799965.8;2016-06-06;completed;https://etpgpb.ru/procedure/tender/gaz/65562-uslugi-po-transportirovke-v-tom-chisle-sboru-i-posleduyuschey-utilizatsii-obezvrezhivaniyu-burovogo-shlama-dlya-nuzhd-ooo-gazprom-do
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;604;31603853986;"Услуги по очистке лифтовых шахт  административного здания ООО «Газпром добыча Оренбург»
";закупка;Закупки ГК «Газпром»;551023.62;2016-07-05;completed;https://etpgpb.ru/procedure/tender/gaz/67333-uslugi-po-ochistke-liftovyh-shaht-administrativnogo-zdaniya-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;725;31603850013;Поставка универсальных чистящих средств;закупка;Закупки ГК «Газпром»;1671074.11;2016-07-04;completed;https://etpgpb.ru/procedure/tender/gaz/67270-postavka-universalnyh-chistyaschih-sredstv/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;726;31603850006;Поставка удобрений и гербицидов;закупка;Закупки ГК «Газпром»;1949119.87;2016-07-04;completed;https://etpgpb.ru/procedure/tender/gaz/67272-postavka-udobreniy-i-gerbitsidov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;732;31603849827;Право заключения договора на оказание услуг по проведению входного контроля химреагентов и активированного угля;закупка;Закупки ГК «Газпром»;583185.5;2016-07-04;completed;https://etpgpb.ru/procedure/tender/gaz/67268-pravo-zaklyucheniya-dogovora-na-okazanie-uslug-po-provedeniyu-vhodnogo-kontrolya-himreagentov-i-aktivirovannogo-uglya/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;817;31603845823;право заключения договора на выполнение работ по ремонту конденсатопровода УКПГ-16 – ОГПЗ I нитка ОАО «Газпром нефтехим Салават» в 2016 г.;закупка;Закупки ГК «Газпром»;3021412.36;2016-07-01;completed;https://etpgpb.ru/procedure/tender/gaz/67188-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-remontu-kondensatoprovoda-ukpg-16-ogpz-i-nitka-oao-gazprom-neftehim-salavat-v-20
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;985;31603673011;право заключения договора на выполнение работ по промыслово-геофизическим исследованиям газоконденсатных скважин ОНГКМ  в 2016 -2017 гг.;закупка;Закупки ГК «Газпром»;19487844.22;2016-05-19;completed;https://etpgpb.ru/procedure/tender/gaz/64367-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-promyslovo-geofizicheskim-issledovaniyam-gazokondensatnyh-skvazhin-ongkm-v-2016-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1005;31603836168;Поставка задвижек шиберных;закупка;Закупки ГК «Газпром»;1011195.97;2016-06-30;completed;https://etpgpb.ru/procedure/tender/gaz/67093-postavka-zadvizhek-shibernyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1040;31603706471;Поставка ключей гаечных;закупка;Закупки ГК «Газпром»;550266.37;2016-05-27;completed;https://etpgpb.ru/procedure/tender/gaz/65016-postavka-klyuchey-gaechnyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1046;31603836162;Поставка трубок индикаторных;закупка;Закупки ГК «Газпром»;1086181.26;2016-06-30;completed;https://etpgpb.ru/procedure/tender/gaz/67095-postavka-trubok-indikatornyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1136;31603695326;Определение вертикальных смещений земной поверхности на территории Оренбургского нефтегазоконденсатного месторождения с использованием дифференциального интерферометрического метода при обработке спутниковых радиолокационных снимков (01970);закупка;Закупки ГК «Газпром»;2283950.18;2016-05-25;completed;https://etpgpb.ru/procedure/tender/gaz/64771-opredelenie-vertikalnyh-smescheniy-zemnoy-poverhnosti-na-territorii-orenburgskogo-neftegazokondensatnogo-mestorozhdeniya-s-ispolzova
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1258;31603689807;Поставка веников, ведер и прочего инвентаря;закупка;Закупки ГК «Газпром»;456583.41;2016-05-24;completed;https://etpgpb.ru/procedure/tender/gaz/64677-postavka-venikov-veder-i-prochego-inventarya/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1307;31603689542;"Оказание услуг по проведению обследования установок Клауса и Сульфрен на ГПЗ ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;2713335.66;2016-05-24;completed;https://etpgpb.ru/procedure/tender/gaz/64674-okazanie-uslug-po-provedeniyu-obsledovaniya-ustanovok-klausa-i-sulfren-na-gpz-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1311;31603732597;"Поставка нагревателей трубчатых ТЭН
";закупка;Закупки ГК «Газпром»;368261.94;2016-06-02;completed;https://etpgpb.ru/procedure/tender/gaz/65394-postavka-nagrevateley-trubchatyh-ten/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1369;31603695052;Поставка прутков БрАЖ9-4;закупка;Закупки ГК «Газпром»;573648.28;2016-05-25;completed;https://etpgpb.ru/procedure/tender/gaz/64764-postavka-prutkov-brazh9-4/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1375;31603662051;право заключения договора на выполнение работ по подготовке окончательного геологического отчета о результатах ГРР на Восточно-Нагумановском участке;закупка;Закупки ГК «Газпром»;2499999.92;2016-05-17;completed;https://etpgpb.ru/procedure/tender/gaz/64135-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-podgotovke-okonchatelnogo-geologicheskogo-otcheta-o-rezultatah-grr-na-vostochno-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1426;31603678634;Разработка проектной документации на строительство эксплуатационных скважин на Оренбургском НГКМ (34118);закупка;Закупки ГК «Газпром»;10395260.74;2016-05-20;completed;https://etpgpb.ru/procedure/tender/gaz/64482-razrabotka-proektnoy-dokumentatsii-na-stroitelstvo-ekspluatatsionnyh-skvazhin-na-orenburgskom-ngkm-34118/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1487;31603786894;Право заключения договора на поставку семян травы газонной;закупка;Закупки ГК «Газпром»;250160.0;2016-06-17;completed;https://etpgpb.ru/procedure/tender/gaz/66284-pravo-zaklyucheniya-dogovora-na-postavku-semyan-travy-gazonnoy/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1513;31603667122;Поставка комплектующих к электродвигателям для пополнения аварийного запаса (26911);закупка;Закупки.Бизнес;3560136.82;2016-05-18;completed;https://etpgpb.ru/procedure/tender/etp/64270-postavka-komplektuyuschih-k-elektrodvigatelyam-dlya-popolneniya-avariynogo-zapasa-26911/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1521;ГП605055;Поставка кругов алмазных, абразивных и полировальных (32909);закупка;Закупки ГК «Газпром»;304070.98;2016-05-26;completed;https://etpgpb.ru/procedure/tender/gaz/64863-postavka-krugov-almaznyh-abrazivnyh-i-polirovalnyh-32909/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1526;31603802729;Поставка труб пластиковых с фитингами;закупка;Закупки ГК «Газпром»;405614.43;2016-06-22;completed;https://etpgpb.ru/procedure/tender/gaz/66598-postavka-trub-plastikovyh-s-fitingami/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1651;31603682477;"Строительство и восстановление эксплуатационных скважин на Оренбургском НГКМ для нужд ООО ""Газпром добыча Оренбург"" (с привлечением
 к исполнению договора субподрядчиков (соисполнителей) из числа субъектов малого и среднего предпринимательства) (0001/16/1.4/0004443/ДОренбург/ЗП/ГОС/Э/20.05.2016)";закупка;Закупки ГК «Газпром»;609471662.62;2016-05-20;completed;https://etpgpb.ru/procedure/tender/gaz/64524-stroitelstvo-i-vosstanovlenie-ekspluatatsionnyh-skvazhin-na-orenburgskom-ngkm-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-s-privlechenie
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1691;31603658094;"Услуги по приобретению доступа к информационно-правовой системе (ИПС) ""Кодекс""";закупка;Закупки ГК «Газпром»;6061737.12;2016-05-16;completed;https://etpgpb.ru/procedure/tender/gaz/64032-uslugi-po-priobreteniyu-dostupa-k-informatsionno-pravovoy-sisteme-ips-kodeks/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1693;31603695048;Поставка листов, прутков, труб медных, прутков латунных;закупка;Закупки ГК «Газпром»;428979.74;2016-05-25;completed;https://etpgpb.ru/procedure/tender/gaz/64766-postavka-listov-prutkov-trub-mednyh-prutkov-latunnyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1865;31603641570;Оказание услуг по технологическому надзору и контролю при восстановлении эксплуатационных скважин на Оренбургском НГКМ;закупка;Закупки ГК «Газпром»;2487088.83;2016-05-11;completed;https://etpgpb.ru/procedure/tender/gaz/63706-okazanie-uslug-po-tehnologicheskomu-nadzoru-i-kontrolyu-pri-vosstanovlenii-ekspluatatsionnyh-skvazhin-na-orenburgskom-ngkm/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1868;31603607422;Работы по ликвидации 2 (двух) скважин Оренбургского НГКМ в 2016 году;закупка;Закупки ГК «Газпром»;12645127.04;2016-04-28;completed;https://etpgpb.ru/procedure/tender/gaz/63019-raboty-po-likvidatsii-2-dvuh-skvazhin-orenburgskogo-ngkm-v-2016-godu/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;1948;31603781762;Приобретение научно-технической литературы;закупка;Закупки ГК «Газпром»;1693431.15;2016-06-16;completed;https://etpgpb.ru/procedure/tender/gaz/66208-priobretenie-nauchno-tehnicheskoy-literatury/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2048;31603672974;Поставка государственных стандартных образцов;закупка;Закупки ГК «Газпром»;271221.04;2016-05-19;completed;https://etpgpb.ru/procedure/tender/gaz/64368-postavka-gosudarstvennyh-standartnyh-obraztsov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2101;31603585205;право заключения договора на выполнение геолого-экономической оценки ресурсной базы перспективных структур Соль-Илецкого свода;закупка;Закупки ГК «Газпром»;3499459.92;2016-04-22;completed;https://etpgpb.ru/procedure/tender/gaz/62563-pravo-zaklyucheniya-dogovora-na-vypolnenie-geologo-ekonomicheskoy-otsenki-resursnoy-bazy-perspektivnyh-struktur-sol-iletskogo-svoda/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2102;31603632368;Право заключения договора на оказание услуг по радиационно-экологическому обследованию объектов добычи, транспорта и подготовки углеводородного сырья;закупка;Закупки ГК «Газпром»;1878328.64;2016-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/63486-pravo-zaklyucheniya-dogovora-na-okazanie-uslug-po-radiatsionno-ekologicheskomu-obsledovaniyu-obektov-dobychi-transporta-i-podgotovki
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2103;31603629010;право заключения договора на оказание услуг по диагностированию и ЭПБ конденсатопровода УКПГ 16-ОГПЗ 1 нитка ОАО «Газпром нефтехим Салават» в 2016 г.;закупка;Закупки ГК «Газпром»;1136479.23;2016-05-05;completed;https://etpgpb.ru/procedure/tender/gaz/63348-pravo-zaklyucheniya-dogovora-na-okazanie-uslug-po-diagnostirovaniyu-i-epb-kondensatoprovoda-ukpg-16-ogpz-1-nitka-oao-gazprom-neftehi
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2156;31603625023;"Услуги по мойке фасада административного здания
 ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;1159475.08;2016-05-04;completed;https://etpgpb.ru/procedure/tender/gaz/63264-uslugi-po-moyke-fasada-administrativnogo-zdaniya-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2157;31603640058;"Услуги по расчету нормативов допустимых выбросов вредных веществ в атмосферный воздух для стационарных источников объектов ООО ""Газпром добыча Оренбург"" и их согласованию в установленном природоохранным законодательством порядке";закупка;Закупки ГК «Газпром»;3912461.1;2016-05-10;completed;https://etpgpb.ru/procedure/tender/gaz/63668-uslugi-po-raschetu-normativov-dopustimyh-vybrosov-vrednyh-veschestv-v-atmosfernyy-vozduh-dlya-statsionarnyh-istochnikov-obektov-ooo-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2232;31603614817;Выполнение геофизических исследований и работ при восстановлении эксплуатационных скважин на Оренбургском НГКМ;закупка;Закупки ГК «Газпром»;16027645.0;2016-04-29;completed;https://etpgpb.ru/procedure/tender/gaz/63106-vypolnenie-geofizicheskih-issledovaniy-i-rabot-pri-vosstanovlenii-ekspluatatsionnyh-skvazhin-na-orenburgskom-ngkm/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2391;ГП604062;Право заключения договора на поставку газопламенного оборудования и комплектующих;закупка;Закупки ГК «Газпром»;354539.19;2016-04-29;completed;https://etpgpb.ru/procedure/tender/gaz/63111-pravo-zaklyucheniya-dogovora-na-postavku-gazoplamennogo-oborudovaniya-i-komplektuyuschih/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2414;ГП605022;"Поставка датчика осевого сдвига ARM-2000 производства HERMETIC-Pumpen GmbH, Германия
";закупка;Закупки ГК «Газпром»;495600.0;2016-05-12;completed;https://etpgpb.ru/procedure/tender/gaz/63883-postavka-datchika-osevogo-sdviga-arm-2000-proizvodstva-hermetic-pumpen-gmbh-germaniya/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2634;31603588206;"Услуги по строительному контролю (техническому надзору) за качеством выполнения работ по сооружению объектов входящих в состав стройки ""Техническое перевооружение и реконструкция объектов добычи газа ОНГКМ""";закупка;Закупки ГК «Газпром»;1270755.64;2016-04-22;completed;https://etpgpb.ru/procedure/tender/gaz/62641-uslugi-po-stroitelnomu-kontrolyu-tehnicheskomu-nadzoru-za-kachestvom-vypolneniya-rabot-po-sooruzheniyu-obektov-vhodyaschih-v-sostav-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2741;ГП604060;Право заключения договора на поставку ковриков нагревательных;закупка;Закупки ГК «Газпром»;380564.16;2016-04-28;completed;https://etpgpb.ru/procedure/tender/gaz/62999-pravo-zaklyucheniya-dogovora-na-postavku-kovrikov-nagrevatelnyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2772;31603607423;Поставка штока 317-29.48-02 к компрессорам базы 6ГМ25 для пополнения аварийного запаса;закупка;Закупки ГК «Газпром»;908600.0;2016-04-28;completed;https://etpgpb.ru/procedure/tender/gaz/63018-postavka-shtoka-317-29-48-02-k-kompressoram-bazy-6gm25-dlya-popolneniya-avariynogo-zapasa/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;2788;31603590802;Поставка сухих строительных смесей и отделочных материалов;закупка;Закупки ГК «Газпром»;1958504.89;2016-04-25;completed;https://etpgpb.ru/procedure/tender/gaz/62707-postavka-suhih-stroitelnyh-smesey-i-otdelochnyh-materialov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3007;31603562201;Поставка коленвала 85-1-0-1 к компрессору 4М10-40/70;закупка;Закупки ГК «Газпром»;1109595.74;2016-04-18;completed;https://etpgpb.ru/procedure/tender/gaz/62057-postavka-kolenvala-85-1-0-1-k-kompressoru-4m10-40-70/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3046;31603580713;"Услуги по строительному контролю (техническому надзору) за качеством выполнения работ по сооружению объектов входящих в состав стройки ""Реконструкция ДКС-1,2 на Оренбургском НГКМ""";закупка;Закупки.Бизнес;1167682.32;2016-04-21;completed;https://etpgpb.ru/procedure/tender/etp/62496-uslugi-po-stroitelnomu-kontrolyu-tehnicheskomu-nadzoru-za-kachestvom-vypolneniya-rabot-po-sooruzheniyu-obektov-vhodyaschih-v-sostav-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3058;31603563386;право заключения договора на поставку мыла;закупка;Закупки ГК «Газпром»;2306248.97;2016-04-18;completed;https://etpgpb.ru/procedure/tender/gaz/62064-pravo-zaklyucheniya-dogovora-na-postavku-myla/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3063;ГП604048;Поставка соединительных деталей;закупка;Закупки ГК «Газпром»;171286.44;2016-04-22;completed;https://etpgpb.ru/procedure/tender/gaz/62562-postavka-soedinitelnyh-detaley/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3285;31603584617;Поставка бумаги А4;закупка;Закупки ГК «Газпром»;589764.0;2016-04-22;completed;https://etpgpb.ru/procedure/tender/gaz/62560-postavka-bumagi-a4/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3288;31603523571;право заключения договора на выполнение работ по подготовке электронного справочника геолого-геофизической информации по результатам бурения на нефть и газ на территории Оренбуржья;закупка;Закупки ГК «Газпром»;4499784.86;2016-04-07;completed;https://etpgpb.ru/procedure/tender/gaz/61322-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-podgotovke-elektronnogo-spravochnika-geologo-geofizicheskoy-informatsii-po-rezul
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3296;ГП604029;Поставка шин автомобильных;закупка;Закупки ГК «Газпром»;584000.69;2016-04-15;completed;https://etpgpb.ru/procedure/tender/gaz/61969-postavka-shin-avtomobilnyh/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3326;31603558093;право заключения договора на выполнение геофизических исследований и работ при ликвидации 2 (двух) скважин Оренбургского НГКМ в 2016 году;закупка;Закупки ГК «Газпром»;1905089.44;2016-04-15;completed;https://etpgpb.ru/procedure/tender/gaz/61986-pravo-zaklyucheniya-dogovora-na-vypolnenie-geofizicheskih-issledovaniy-i-rabot-pri-likvidatsii-2-dvuh-skvazhin-orenburgskogo-ngkm-v-
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3328;ГП604052;Право заключения договора на поставку метизной продукции;закупка;Закупки ГК «Газпром»;492217.07;2016-04-22;completed;https://etpgpb.ru/procedure/tender/gaz/62568-pravo-zaklyucheniya-dogovora-na-postavku-metiznoy-produktsii/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3378;ГП604037;Поставка уплотнений к теплообменнику;закупка;Закупки ГК «Газпром»;350826.01;2016-04-20;completed;https://etpgpb.ru/procedure/tender/gaz/62324-postavka-uplotneniy-k-teploobmenniku/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3487;31603595220;Услуги по пассажирским перевозкам воздушным транспортом;закупка;Закупки ГК «Газпром»;64803689.1;2016-04-26;completed;https://etpgpb.ru/procedure/tender/gaz/62808-uslugi-po-passazhirskim-perevozkam-vozdushnym-transportom/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3498;31603556381;Поставка эмали АК-511;закупка;Закупки ГК «Газпром»;585678.84;2016-04-15;completed;https://etpgpb.ru/procedure/tender/gaz/61955-postavka-emali-ak-511/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3637;31603492899;"Поставка комплектующих к оборудованию для радио, телевидения и связи аппаратуры для нужд ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;3312046.33;2016-03-31;completed;https://etpgpb.ru/procedure/tender/gaz/60826-postavka-komplektuyuschih-k-oborudovaniyu-dlya-radio-televideniya-i-svyazi-apparatury-dlya-nuzhd-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3638;31603474560;"Поставка сантехнических изделий и радиаторов отопления для нужд ООО ""Газпром добыча Оренбург""";закупка;Закупки ГК «Газпром»;1599951.16;2016-03-28;completed;https://etpgpb.ru/procedure/tender/gaz/60538-postavka-santehnicheskih-izdeliy-i-radiatorov-otopleniya-dlya-nuzhd-ooo-gazprom-dobycha-orenburg/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;3709;31603526994;"Выполнение проектно-изыскательских работ по объекту ""Реконструкция ДКС-3 Оренбургского НГКМ"" (0001/16/1.2/0022691/ДОренбург/ЗП/ГОС/Э/07.04.2016) (с привлечением к исполнению договора субподрядчиков (соисполнителей) из числа субъектов малого и среднего предпринимательства)";закупка;Закупки ГК «Газпром»;66618311.28;2016-04-07;completed;https://etpgpb.ru/procedure/tender/gaz/61346-vypolnenie-proektno-izyskatelskih-rabot-po-obektu-rekonstruktsiya-dks-3-orenburgskogo-ngkm-0001-16-1-2-0022691-dorenburg-zp-gos-e-07
